cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,2097000878423,[롱고바디] 토마토홀 800g,"4,400",,별점 4.87점,(399개)
6000098014,면류/즉석식품/소스/오일,2097000860053,쌀국수 양지육수(900g),"8,480",(100g당:943원),별점 4.82점,(560개)
6000098014,면류/즉석식품/소스/오일,2097000896243,수지스 유기농 케첩 567g,"7,984","(100g당:1,409원)",별점 4.89점,(229개)
6000098014,면류/즉석식품/소스/오일,2097000834702,[하노이의아침]베트남쌀국수 2인분,"10,900",,별점 4.42점,(673개)
6000098014,면류/즉석식품/소스/오일,2097000896335,수지스 유기농 리얼마요 355ml,"7,984","(100ml당:2,250원)",별점 4.72점,(127개)
6000098014,면류/즉석식품/소스/오일,2097000895741,수지스 유기농 옐로우 머스터드 227g,"3,984","(100g당:1,756원)",별점 4.75점,(146개)
6000098014,면류/즉석식품/소스/오일,2097000894690,지오바니 유기농 로우스티드 갈릭 파스타소스 709g,"7,024",(100g당:991원),별점 4.7점,(61개)
6000098014,면류/즉석식품/소스/오일,2097000895178,지오바니 유기농 스파이시 토마토 파스타소스 709g,"7,024",(100g당:991원),별점 4.73점,(64개)
6000098014,면류/즉석식품/소스/오일,2097000889849,[데체코] 스파게티 시금치 500g,"4,400",,별점 4.88점,(212개)
6000098014,면류/즉석식품/소스/오일,2097000889870,[데체코] 구르메 리가토니 500g,"8,900",,별점 4.86점,(112개)
6000098014,면류/즉석식품/소스/오일,2097000896441,수지스 유기농 타르타르소스 237ml,"7,984","(100ml당:3,369원)",별점 4.29점,(34개)
6000098014,면류/즉석식품/소스/오일,2097000878416,[메뉴] 투토솔 200g (선드라이 토마토),"14,900",,별점 4.74점,(54개)
6000098014,면류/즉석식품/소스/오일,2097001027417,닥터키친밥 귀리곤약 480g(3개입),"7,990",(160g당:888원),별점 4.89점,(54개)
6000098014,면류/즉석식품/소스/오일,2097000889801,[멩가졸리] 라프란카 발사믹크림 580g,"12,800",,별점 4.9점,(71개)
6000098014,면류/즉석식품/소스/오일,2097000890333,[데체코] 링귀니 시금치500g,"4,400",,별점 4.88점,(271개)
6000098014,면류/즉석식품/소스/오일,2097000890142,[마다마] 그린 카스텔베트라노 300g,"7,700",,별점 4.84점,(43개)
6000098014,면류/즉석식품/소스/오일,2097000890326,[데체코] 파팔레 500g,"4,900",,별점 4.92점,(219개)
6000098014,면류/즉석식품/소스/오일,2097000889818,[데체코] 통밀 스파게티 인터갈리 500g,"4,700",,별점 4.88점,(147개)
6000098014,면류/즉석식품/소스/오일,2097000889924,[쥬카토] 마늘 피클 190g,"4,900",,별점 4.33점,(39개)
6000098014,면류/즉석식품/소스/오일,2097000890180,[리졸리] 앤쵸비 스파이시소스 80g,"7,400",,별점 4.64점,(14개)
6000098014,면류/즉석식품/소스/오일,2097000890241,[리졸리] 그릴드 고등어 125g,"7,900",,별점 4.53점,(15개)
6000098014,면류/즉석식품/소스/오일,2097001027684,닥터키친밥 서리태곤약 480g(3개입),"7,990",(160g당:888원),별점 5점,(35개)
6000098014,면류/즉석식품/소스/오일,2097000889894,[마다마] 블랙 피티드 깔라마따 올리브 530g,"10,200",,별점 4.68점,(28개)
6000098014,면류/즉석식품/소스/오일,2097000890173,[리졸리] 참치캔 185g,"13,900",,별점 4.9점,(21개)
6000098014,면류/즉석식품/소스/오일,2097000890265,[리졸리] 앤쵸비 병 720g,"29,900",,별점 4.43점,(28개)
6000098014,면류/즉석식품/소스/오일,0000008333613,[농심] 올리브 짜파게티 (140gx5입),"3,850",(1개당:770원),별점 4.95점,"(288,042개)"
6000098014,면류/즉석식품/소스/오일,0000008333648,[농심] 신라면 120gx5입,"3,380",(1개당:676원),별점 4.95점,"(222,242개)"
6000098014,면류/즉석식품/소스/오일,1000016397446,진라면 매운맛 120g×5개,"2,750",(1개당:550원),별점 4.96점,"(34,974개)"
6000098014,면류/즉석식품/소스/오일,0000006609543,[오뚜기] 프레스코 스파게티 500g,"2,280",(100g당:456원),별점 4.94점,"(50,923개)"
6000098014,면류/즉석식품/소스/오일,0000008333662,[농심] 안성탕면 5입 625g (125g5입),"2,750",(1개당:550원),별점 4.94점,"(131,042개)"
6000098014,면류/즉석식품/소스/오일,0000009701616,[오뚜기] 맛있는 오뚜기밥 210g*10개입,"8,480",(100g당:404원),별점 4.94점,"(62,142개)"
6000098014,면류/즉석식품/소스/오일,0000008333610,[농심] 육개장 사발면 (86gx6입),"4,200",(1개당:700원),별점 4.95점,"(139,324개)"
6000098014,면류/즉석식품/소스/오일,1000005893792,파스타소스600g(토마토),"3,980",(100g당:664원),별점 4.92점,"(31,072개)"
6000098014,면류/즉석식품/소스/오일,1000005893793,파스타소스600g(로제),"3,980",(100g당:664원),별점 4.94점,"(35,632개)"
6000098014,면류/즉석식품/소스/오일,0000006610869,진라면 순한맛 120g(5입),"2,750",(1개당:550원),별점 4.95점,"(127,157개)"
6000098014,면류/즉석식품/소스/오일,1000018071328,[노브랜드] 홈스타일 크림 스파게티 소스 400g,"1,780",(100g당:445원),별점 4.83점,"(31,489개)"
6000098014,면류/즉석식품/소스/오일,0000006617873,[오뚜기] 스낵면 540g (108g*5입),"1,980",(1개당:396원),별점 4.93점,"(76,687개)"
6000098014,면류/즉석식품/소스/오일,0000008333620,농심 얼큰한 너구리 (120gx5입),"3,650",(1개당:730원),별점 4.95점,"(164,131개)"
6000098014,면류/즉석식품/소스/오일,0000006610205,[오뚜기] 스위트 콘 (340g),"1,250",(10g당:37원),별점 4.95점,"(67,161개)"
6000098014,면류/즉석식품/소스/오일,0000008023235,[풀무원] 우동 사리면 210g,980,(100g당:467원),별점 4.92점,"(22,893개)"
6000098014,면류/즉석식품/소스/오일,0000006609429,[오뚜기] 토마토케찹 300g,"1,380",(100g당:460원),별점 4.95점,"(61,178개)"
6000098014,면류/즉석식품/소스/오일,0000006610188,[팔도 Paldo] 왕뚜껑 110g,780,(1개당:780원),별점 4.94점,"(46,920개)"
6000098014,면류/즉석식품/소스/오일,1000012334046,"[피코크] 초마짬뽕1,240g","8,480",(100g당:684원),별점 4.87점,"(46,917개)"
6000098014,면류/즉석식품/소스/오일,1000045521224,노브랜드슬라이스피클720ml,"2,080",(10ml당:29원),별점 4.79점,"(6,223개)"
6000098014,면류/즉석식품/소스/오일,1000031816085,농심 신라면 건면 5입,"3,280",(1개당:656원),별점 4.9점,"(42,257개)"
6000098014,면류/즉석식품/소스/오일,0000006610147,[삼양] 삼양라면 5입,"2,780",(1개당:556원),별점 4.93점,"(92,965개)"
6000098014,면류/즉석식품/소스/오일,0000006609427,[오뚜기] 골드 마요네즈 (300g),"2,450",(100g당:817원),별점 4.95점,"(47,832개)"
6000098014,면류/즉석식품/소스/오일,1000010947370,CJ 햇반 아산맑은쌀밥 210g x 8개,"8,980",(100g당:535원),별점 4.94점,"(32,256개)"
6000098014,면류/즉석식품/소스/오일,0000006610146,[팔도 Paldo] 비빔면 5입,"3,800",(1개당:760원),별점 4.94점,"(149,997개)"
6000098014,면류/즉석식품/소스/오일,1000018071327,[노브랜드] 홈스타일 토마토 스파게티 소스 400g,"1,780",(100g당:445원),별점 4.89점,"(24,167개)"
6000098014,면류/즉석식품/소스/오일,1000033514907,오동통면 얼큰한맛 120gX4개,"2,080",(1개당:520원),별점 4.93점,"(34,463개)"
6000098014,면류/즉석식품/소스/오일,1000014419065,[Fontana] 폰타나 크림파스타소스430g (베이컨&머쉬룸),"5,480","(100g당:1,275원)",별점 4.9점,"(13,286개)"
6000098014,면류/즉석식품/소스/오일,0000007632909,[농심] 멸치 칼국수(98g5입) 490g,"3,280",(1개당:656원),별점 4.91점,"(33,294개)"
